p_id;n_12_02;n_19_02;n_26_02;n_05_03;n_12_03
1;-3;-3;-3;-2;-2
2;-3;-2;-2;-2;-3
3;-2;-2;-2;-2;-2
4;-2;-2;-2;-2;-2
5;-2;-2;-2;-2;-2
6;-2;-2;-2;-2;-2
7;-2;-2;-2;-2;-3
8;-2;-2;-2;-2;-2
9;-3;-2;-2;-2;-2
10;-3;-2;-2;-3;-3
11;-2;-2;-2;-2;-2
12;-2;-2;-2;-2;-2
13;-3;-3;-2;-2;-2
14;-3;-2;-2;-2;-3
15;-2;-2;-2;-2;-2
16;-3;-3;-3;-3;-3
17;-3;-3;-3;-3;-3
18;-2;-2;-2;-2;-2
19;-2;-2;-2;-2;-2
20;-2;-2;-2;-2;-2
21;-3;-3;-3;-3;-3
22;-3;-3;-3;-3;-3
23;-3;-2;-2;-3;-3
24;-2;-2;-2;-3;-2
25;-2;-2;-3;-3;-3
